title,skills_list
Data Scientist II,"['r', 'python', 'scala']"
"Product Development/Client Data Analyst, AdTech","['excel', 'tableau', 'power_bi', 'looker', 'sql']"
Power BI Data Analyst,"['power_bi', 'c', 'sharepoint', 'jira', 'sql']"
Sr. Category Analyst - Data Engineer,"['powerpoint', 'word', 'excel', 'tableau', 'power_bi', 'looker', 'sql', 'alteryx']"
Data Analyst III (Healthcare Analytics),['python']
Data Analyst- Internship,"['power_bi', 'tableau', 'azure', 'excel', 'power_bi', 'gcp', 'sql', 'python']"
BUSINESS INTELLIGENCE ANALYST,"['tableau', 'python', 'sql']"
Senior Aruba Supply Chain Data Analyst,['excel']
Business Operations Data Analyst,"['powerpoint', 'word', 'excel', 'outlook']"
Senior Data Engineer,"['azure', 'snowflake', 'sql', 'python']"
Healthcare Data Analyst 1302,['excel']
Senior Data Analytics Engineer,"['power_bi', 'tableau', 'azure', 'snowflake', 'airflow', 'sql', 'python']"
E-Commerce Data Analyst - Contract to Hire,"['excel', 'tableau', 'power_bi', 'sql']"
Research Data Analyst - Full Time - DC - (23000181),"['sas', 'spss']"
Data Analytics and Visualization Specialist,"['php', 'html', 'java', 'tableau', 'power_bi', 'sql']"
Data Analyst,"['excel', 'tableau', 'power_bi', 'r', 'python', 'sql']"
"""GIS Data Analyst""","['tableau', 'vba', 'sql']"
"Senior Data Analyst – Mostly Remote – up to $200,000 Total...","['snowflake', 'sql', 'azure']"
Data Analyst,['sap']
REMOTE: Marketing Data Analyst,"['excel', 'tableau']"
GIS Data Analyst,"['plotly', 'pandas', 'airflow', 'docker', 'git', 'aws', 'python', 'numpy', 'sql', 'seaborn']"
Data Analyst/Report Writer 3,"['ssis', 'power_bi', 'sql', 'azure']"
Business Analyst (Remote/Virtual),"['excel', 'sql']"
Senior Data Analyst,"['excel', 'tableau', 'sql']"
"Data Analysis, Modeling","['r', 'sql', 'python']"
Data Analyst,"['qlik', 'tableau', 'r', 'aws', 'python']"
Data Analyst,"['visio', 'excel', 'power_bi', 'go']"
Senior Healthcare Data Analyst,"['power_bi', 'tableau', 'excel', 'go', 'sql']"
Sr. IT Business Analyst,"['power_bi', 'sharepoint', 'azure', 'excel', 'ssrs', 'sql']"
Program Analyst (Data Scientist),"['c', 'sas', 'sql', 'r', 'python']"
"Research Data Analyst WFH in  Nashville, TN in HCA Healthcare","['sas', 'sql']"
Scientific Data Analyst I,"['word', 'excel', 'r', 'sas', 'sharepoint', 'outlook']"
Analyst Data Management,['r']
Healthcare Analyst,"['cognos', 'sap', 'sql']"
2023 University Graduate (U.S.) - Information Management Data...,"['power_bi', 'pl/sql', 'ssrs']"
"Senior Data Analyst, Client Analytics","['tableau', 'excel', 'sql']"
Senior Data Analyst,"['tableau', 'graphql', 'excel', 'power_bi', 'ssrs', 'sql', 'word']"
Data Science Specialist,"['github', 'hadoop', 'tableau', 'r', 'python', 'sql', 'nosql']"
Research & Data Analyst,"['power_bi', 'tableau', 'powerpoint', 'excel', 'java', 'power_bi', 'spss', 'word', 'python']"
Business Analyst,['excel']
Sr. Business Intelligence Analyst - Performance Analytics,"['power_bi', 'powerpoint', 'excel', 'power_bi', 'sql', 'python']"
Data Visualization Analyst,"['power_bi', 'tableau', 'dax']"
Senior Data Analyst with Security Clearance,"['powerpoint', 'word', 'excel', 'outlook', 'sql']"
Data Analytics and Management Lead,"['qlik', 'tableau', 'power_bi', 'aws', 'sql', 'nosql']"
Data Quality Analyst,"['tableau', 'excel', 'sql']"
Data Analyst (US Citizens Only),"['excel', 'tableau', 'power_bi', 'python', 'sql']"
Data Analyst,"['excel', 'tableau', 'sql']"
Senior Natural (Adabus) Analyst/Programmer - ADABUS Modernization Specialist,['java']
"Senior Manager II, Operations - Reverse Logistics Returns & Data...","['sql', 'r', 'python']"
Data Analyst - Remote,"['excel', 'sql']"
Functional Data Analyst,"['visio', 'excel', 'sql']"
Data Analyst,"['aws', 'azure', 'sap', 'snowflake', 'gcp', 'spark', 'sql', 'git', 'python']"
Data Analyst/Engineer - Data Analyst III,"['java', 'c++', 'unix/linux', 'r', 'python', 'julia', 'tensorflow', 'javascript', 'c', 'mongodb', 'sql', 'nosql', 'scala']"
"Lead Advanced Analyst, 32397058","['r', 'python', 'sql']"
Healthcare Data Analyst HEDISquality measures  East Windsor New...,"['tableau', 'python', 'sql']"
Data Analyst II,"['power_bi', 'azure', 'sas', 'sql', 'r', 'python']"
NetSuite Data Analyst,"['excel', 'tableau']"
"Data Analyst, Clinical Analytics and Reporting","['tableau', 'sql', 'r']"
Nuclear Systems Data Analyst,['python']
Data Analyst,['excel']
Data Scientist,"['github', 'pandas', 'excel', 'power_bi', 'matplotlib', 'spreadsheet', 'r', 'python', 'numpy', 'cognos', 'sql']"
Python Data Analyst - Contract to Hire,"['power_bi', 'tableau', 'python']"
Data Analyst I,"['tableau', 'power_bi', 'go', 'spreadsheet']"
Sr. Data Analyst,"['excel', 'power_bi']"
Data Analyst,"['powerpoint', 'excel', 'sharepoint']"
Data Analyst - Technical Operations,['sql']
Electronic Data Interchange Analyst,"['aws', 'c', 'azure', 'excel', 'vb.net', 'sql', 'spreadsheet', 'word']"
"Sr. Analyst, Financial Data Lake","['sap', 'sql', 'dax']"
Product Data Analyst,"['excel', 'swift']"
Data Analyst,"['python', 'scala']"
Senior Data Analyst,"['r', 'python']"
Investment Data Analyst,['excel']
Field Tech Senior Analyst,"['word', 'excel', 'spreadsheet']"
Operations Analyst,"['powerpoint', 'jira', 'excel', 'sharepoint']"
Sr. Data Analyst-Compliance Testing?/Remote,"['tableau', 'excel', 'sql', 'python']"
Excel-Based Data Analyst,['excel']
Data Engineer,"['postgres', 'bigquery', 'gcp', 'looker', 'sql']"
Lead Data Analyst,['spreadsheet']
"Lead Data Analyst, Growth","['looker', 'sql']"
Data Analyst – Google BigQuery and Generative AI Specialist,"['bigquery', 'tableau', 'gcp', 'looker', 'sap', 'sql']"
BJAG Policy and Data Analyst ADMINISTRATIVE OFFICER II,"['power_bi', 'tableau', 'excel', 'word', 'qlik']"
Senior Data Scientist,"['pandas', 'scikit-learn', 'seaborn', 'sql', 'nosql', 'matplotlib', 'python', 'mongodb']"
Senior Data Management Analyst,['sql']
Data Analyst/Scientist-Remote,"['powerpoint', 'word', 'qlik', 'excel', 'power_bi', 'tableau', 'r', 'python', 'vba', 'sql']"
Data Analyst,"['excel', 'power_bi']"
"python, DBT, Data analyst/BI expert to help automate a series of...","['python', 'pandas']"
Data Analyst,"['excel', 'sql']"
Informatica MDM Developer/Analyst/Data Wrangler,['sql']
Data Analyst,"['sql', 'r', 'python']"
Data Scientist I,"['pandas', 'scikit-learn', 'scala', 'spark', 'sql', 'r', 'python', 'numpy', 'tensorflow']"
Program Data Analyst,"['jira', 'spreadsheet']"
Compensation Data Analyst,['excel']
Senior Data Analyst [Remote/Hybrid],"['tableau', 'power_bi', 'python', 'sql']"
Data Analyst,"['power_bi', 'tableau', 'go', 'sql', 'r', 'python']"
Data Analyst,"['tableau', 'r', 'javascript', 'sql']"
Sr. Data Scientist with Pricing and Reinforcement learning (PhD must ),"['python', 'sql']"
Hotjar: Sales Data Analyst (EMEA),"['tableau', 'sql', 'redshift', 'python']"
Director of Business Intelligence,"['power_bi', 'tableau', 'sql', 'qlik']"
Data Analyst,"['powerpoint', 'excel']"
Marketing Data Analyst (Remote),"['bigquery', 'excel', 'power_bi', 'tableau', 'looker', 'r', 'python', 'sql']"
Data Analyst,['sql']
Sustainability Data Analyst,"['powerpoint', 'excel', 'word']"
senior data analyst (business & growth)- Hybrid or Remote,"['aws', 'vue', 'excel', 'looker', 'javascript', 'ruby', 'sql', 'python']"
Tax Consulting Data Analyst - Employee Retention Credit (Remote),['excel']
CBAT Data Analyst and Statistician,"['excel', 'tableau', 'power_bi', 'spss']"
Lead Data Engineer,"['power_bi', 'python', 'spark', 'sql', 'azure', 'nosql', 'dax']"
Data Analyst / Power BI Expert to write some DAX formulas,['power_bi']
Data Analyst,"['mysql', 'plotly', 'tableau', 'power_bi', 'looker', 'matplotlib', 'python', 'postgres', 'sql']"
Fiserv Data Analyst - Loans/Deposits,"['excel', 'power_bi', 'tableau', 'python', 'vba', 'pl/sql', 'sql', 'alteryx', 'cobol']"
Senior BI & Data Analyst,"['power_bi', 'tableau', 'dax', 'ssrs', 'sql']"
"Data Science & Analytics, Manager","['power_bi', 'tableau', 'excel', 'sql']"
Technical Services Business Data Analyst,"['excel', 'outlook', 'word']"
"Staff Product Analyst (Remote, USA)","['tableau', 'looker', 'airflow', 'sql', 'git']"
Entry-Level Remote Data Analyst Job at Nike,"['excel', 'tableau', 'power_bi', 'python']"
PowerBI Analyst/Engineer,"['power_bi', 'power_bi', 'sql']"
Data Analyst (Remote) from United States,"['tableau', 'sas', 'javascript', 'java', 'c++', 'power_bi', 'docker', 'python']"
Data Analyst,"['looker', 'power_bi', 'sql', 'redshift', 'python', 'postgresql']"
Product Data Analyst,['sql']
Data Analyst III - Data Ventures,"['power_bi', 'tableau', 'aws', 'azure', 'bigquery', 'snowflake', 'gcp', 'spark', 'sql', 'redshift', 'r', 'python', 'scala']"
Principle Data Analyst - (Remote),"['sql', 'azure']"
Data Analyst/Tableau Developer,"['tableau', 'r', 'python', 'sql']"
MIS Data Analyst Regulatory Reports,"['sas', 'spss']"
College Level Data Analysis Tutor (must be expert with excel) ...,['excel']
Principal Data Analyst - Investigative Risk and Operational...,"['power_bi', 'tableau', 'spark', 'sql', 'r', 'python', 'scala']"
"Sr. Data Analyst, Marketing Operations","['tableau', 'jira', 'sql', 'microstrategy']"
Business Analyst - Remote,['excel']
Developer needed for data analysis,['python']
Senior Healthcare Data Analyst,"['power_bi', 'tableau', 'powershell', 'go', 'sql']"
"Data Configuration & Analyst, Senior Specialist (Hybrid)","['power_bi', 'tableau', 'aws', 'jira', 'sql', 'redshift']"
Excel Data analyst Tutor,"['excel', 'go']"
Data Analyst/Engineer Techno Functional Analyst (Jersey City) x2,"['hadoop', 'go', 'sql']"
Senior Data Analyst - Business Intelligence,"['tableau', 'looker', 'sql', 'r', 'python']"
Principal BI Analyst,"['bigquery', 'power_bi', 'looker']"
Data Analyst with GA and Amplitude - Contract to Hire,"['gdpr', 'html', 'javascript']"
Workday Reporting/Data Analyst,['excel']
Data Science/Analytics Internship,"['javascript', 'scala', 'sql', 'r', 'python']"
2024 Supply Chain Data Analyst Intern,"['powerpoint', 'excel', 'sap', 'power_bi', 'sql', 'word', 'qlik']"
Senior Information Systems Engineer with Big Data Focus,"['aws', 'python', 'sql']"
Senior Enterprise Data Business Analyst,"['tableau', 'jira']"
Remote Data Analyst,"['swift', 'word', 'excel', 'spreadsheet']"
Google Analytics and Conversion tracking expert,['looker']
Healthcare Data Analyst: Claims,"['tableau', 'power_bi', 'sql']"
Master Data Analyst,"['excel', 'sql']"
Data Analyst,"['c', 'excel', 'postgres']"
Data Analyst,"['tableau', 'excel', 'sql', 'word', 'alteryx']"
Data Analyst,"['tableau', 'looker', 'sql', 'python']"
Business Data Analyst,"['jira', 'excel', 'snowflake', 'sql']"
Senior Data Analyst,"['tableau', 'excel', 'looker', 'power_bi', 'sql', 'python']"
Metric and Data Analyst 3/4,"['power_bi', 'sql', 'r', 'python']"
Data Analyst,"['excel', 'sql', 'word']"
"(USA) Senior Data Analyst with Energy, Utilities and Sustainability","['tableau', 'power_bi', 'excel', 'sas', 'power_bi', 'spark', 'sql', 'nosql', 'matplotlib', 'r', 'python', 'vba', 'scala']"
"Required Data Analyst – J&L Marketing – Louisville, KY","['excel', 'sas', 'javascript', 'sql', 'spss']"
"Manager, Business Analysis And Insights","['word', 'r', 'python']"
VDOT Data Analyst/Cloud ETL Developer,"['t-sql', 'tableau', 'azure', 'powerpoint', 'excel', 'ssis', 'outlook', 'java', 'power_bi', 'ssrs', 'sql', 'word', 'visio', 'unix', 'python', 'shell', 'linux']"
Financial Data Analyst,['sap']
Supply Chain Data Analytics Specialist,"['tableau', 'looker', 'sap', 'sql', 'qlik', 'r', 'python']"
Data Analyst,"['excel', 'sql']"
Inventory and Margins Senior Data Analyst,"['tableau', 'excel', 'sql', 'python']"
TERMS OF REFERENCE: Data Analyst (Remote),"['tableau', 'python']"
"Deloitte
Jr Analyst – PowerBI Dashboarding | VBA | Excel Reporting – DC or Remote – Clearance Req. in
Norfolk, Virginia","['qlik', 'excel', 'power_bi', 'vba']"
Junior Data Analyst,"['r', 'python', 'sql']"
Sr. IT Data Analyst,"['hadoop', 'sql']"
Entry Level Data Analyst,"['java', 'c++', 'tableau', 'python', 'go', 'javascript', 'sql']"
Senior Data Analyst- Enterprise Architecture,"['power_bi', 'ssrs', 'sql']"
Customer Experience Data Analyst,"['visual_basic', 'excel', 'go', 'sql']"
Data Analyst II,"['excel', 'sas']"
Quality Data Analyst,"['excel', 'sql']"
Remote Data Analyst,"['tableau', 'excel', 'sql']"
"Senior Reimbursement Strategy, Data Analyst","['powerpoint', 'excel']"
Data Analyst II,"['sas', 'sql', 'python']"
Junior Data Scientist,"['pyspark', 'tableau', 'aws', 'python', 'sql']"
Launch Test Range Systems Data Analyst,"['pyspark', 'sas', 'sql', 'r', 'python']"
Benefit Program Senior Specialist-Data Analysis/Research,"['tableau', 'sql']"
Data Analyst Project Manager,"['excel', 'sap']"
Data Analyst for Survey Analysis,"['powerpoint', 'excel']"
Business Data Analyst,['excel']
Business Intelligence Analyst,"['tableau', 'r', 'python', 'sas', 'ssrs', 'snowflake', 'sql']"
Qliksense Data Analyst (Mountain view CA) day 1 onsite Hybrid,['qlik']
Legal Data Analyst – AI Content Optimization (NJ/ NY),"['power_bi', 'python']"
Data Analyst II,"['tableau', 'power_bi', 'excel', 'sas', 'power_bi', 'spark', 'sql', 'nosql', 'matplotlib', 'r', 'python', 'scala']"
Transportation Data and Analytics Leader,"['c++', 'r', 'python']"
Lead Data Analyst,"['tableau', 'looker', 'snowflake', 'java', 'c++', 'spark', 'sql', 'python', 'scala']"
Data Governance Analyst - II,['sql']
Predictive R Mapping for Data in Healthcare,"['excel', 'r']"
Product Data Analyst,"['tableau', 'power_bi', 'looker', 'sql']"
Principal Marketing Data Analyst,"['tableau', 'jira']"
Embedded BI Data Visualisation Specialist SIBU510,"['matlab', 'power_bi', 'tableau', 'excel', 'sas', 'sql', 'qlik', 'r', 'python']"
Data Scientist,"['tableau', 'python', 'sql']"
Part time Remote Online Data Analyst Spanish Speak,['go']
Data Analyst - TrainingPeaks,"['pandas', 'tableau', 'looker', 'go', 'sql', 'word', 'python', 'numpy']"
Senior Data Analyst - Contract to Hire,"['python', 'sql']"
Power BI Mid-level Analyst (Remote Job),"['excel', 'power_bi', 'aws']"
Senior Data Analyst,"['tableau', 'looker', 'javascript', 'sql', 'mysql', 'python', 'postgresql']"
Data s Apprenticeship,['power_bi']
Manager Data Analysis Business Optimization,"['tableau', 'aws', 'snowflake', 'sql', 'swift', 'r', 'microstrategy']"
BI Data Analyst,"['tableau', 'looker', 'power_bi', 'sql', 'qlik', 'r', 'python']"
Data Analyst III,"['excel', 'sql']"
Senior Data Analyst,['sql']
Senior Data Analyst,"['go', 'sql']"
"Remote Entry Level Data Analyst at Ultimate Staffing Services Louisville, KY",['excel']
Data Engineer,"['power_bi', 'unix/linux', 'sas']"
Environmental and Water Resources Data Analyst,"['jupyter', 'git', 'r', 'python', 'sql']"
Data Center Logistics Analyst,['excel']
Workday Reporting Data Analyst,['excel']
Data Analyst Career Accelerator mentor,"['excel', 'python', 'sql']"
Data Scientist,"['r', 'python']"
Data Analyst III- Solutions Design Team!,"['power_bi', 'tableau', 'gcp', 'looker', 'r', 'python', 'spark', 'sql', 'scala']"
"Analyst II, Data Analytics","['tableau', 'power_bi', 'excel', 'sas', 'power_bi', 'spark', 'sql', 'nosql', 'matplotlib', 'r', 'python', 'scala']"
Business Analyst/Data Analyst,"['sharepoint', 'excel', 'outlook', 'power_bi']"
Air Vehicle Structures Senior Stress Analyst Engineer,"['jira', 'excel', 'vba']"
Lead PDM Analyst,"['tableau', 'sql']"
Clinical Analyst,"['power_bi', 'tableau']"
Fraud Data Analyst,"['power_bi', 'r', 'python', 'sql']"
"Tax Consulting Data Analyst – Employee Retention Credit (Remote) in Costa Mesa, CA",['excel']
Marketing Data Scientist (Must Code in R & Have Marketing Experience),['r']
hxgn eam data analyst,"['powerpoint', 'word', 'visio', 'excel']"
Microsoft Data / AI Resources,['azure']
Data Visualization and Reporting Analyst,"['tableau', 'power_bi']"
Data Analysis - CSV snd Python,"['python', 'numpy', 'pandas']"
Mentor Data Analyst (US - Remote),"['power_bi', 'tableau', 'r', 'python', 'sql']"
Sr. Retail Operations Data Solutions Analyst III (Remote),"['t-sql', 'power_bi', 'excel', 'sas', 'sap', 'power_bi', 'ssrs', 'sql', 'word', 'unix']"
Product Analyst,"['tableau', 'sql']"
Master Data Analyst,"['tableau', 'powerpoint', 'excel', 'sap', 'power_bi', 'word', 'visio']"
Data Analyst Remote / Telecommute Jobs,"['excel', 'git', 'aws', 'python']"
System Data Analyst - Telecom,"['gcp', 'python', 'sql']"
Commercial Data Analyst,"['power_bi', 'powerpoint', 'excel', 'power_bi']"
Master Data Analyst,"['sap', 'outlook']"
SAP Data Analyst,"['git', 'sap', 'tableau', 'sql', 'selenium']"
Senior Billing Data Analyst,"['excel', 'ssis', 'ssrs', 'sql']"
Enterprise Data Analyst,"['tableau', 'power_bi', 'sql']"
Analyst III - REMOTE,"['word', 'excel', 'sas', 'sql']"
CBB Risk Customer Remediation Data Analyst,"['sharepoint', 'excel', 'sql']"
"Sr. Data Analyst, Marketing Operations","['tableau', 'jira', 'sql', 'microstrategy']"
Data Analyst II,"['power_bi', 'excel', 'sas', 'snowflake', 'sql', 'spss', 'r', 'python']"
Business/Data Analyst Senior,"['excel', 'tableau', 'sas', 'sql']"
Data Quality Analyst,['excel']
UT Dallas Data Analyst Entry Level Opportunity,"['tableau', 'cognos', 'perl', 'go', 'sql', 'python']"
Data Analyst,"['python', 'sap', 'pl/sql', 'snowflake', 'sql']"
"Data Analyst (Little Rock, AR)","['tableau', 'c', 'powerpoint', 'bigquery', 'excel', 'mssql', 'ssis', 'snowflake', 'power_bi', 'ssrs', 'sql', 'python']"
Jr. Business Intelligence Analyst,"['word', 'excel', 'tableau', 'outlook', 'sql']"
Data Analyst,"['c', 'sharepoint', 'sql']"
"Analyst I, Payment Analytics","['go', 'sql', 'r', 'python']"
Senior Data Analyst - Firm Analytics,"['tableau', 'r', 'python', 'sas', 'snowflake', 'sql', 'spss']"
"(USA) Manager II, Data Modeling - Data Ventures","['snowflake', 'hadoop', 'sql', 'nosql']"
Senior Data Analyst and Product Manager - Remote,"['powerpoint', 'word', 'excel']"
Sales Data Analyst,"['excel', 'power_bi']"
Senior Sales Analyst,['sap']
Analyse public data in R Studio,['ggplot2']
Master Data Analyst,"['tableau', 'powerpoint', 'excel', 'sap', 'go', 'sql']"
Data Analyst (Hybrid/Remote),"['tableau', 'power_bi', 'r', 'python', 'sap']"
Business Intelligence Analyst/Developer (AWS),"['redshift', 'tableau', 'power_bi', 'aws']"
Senior Data Analyst and BI Developer,"['power_bi', 'tableau', 'azure', 'power_bi', 'sql', 'r', 'python']"
Senior Data Analyst,"['tableau', 'jupyter', 'outlook', 'airflow', 'sql', 'python']"
Adobe Analytics Implementation Specialist,['js']
Fisint Data Analyst,['python']
"Consultancy - Data Analyst, CCRI-DRM (Consultant), Data and...",['excel']
AP Analyst,['sap']
Data analyst,"['excel', 'tableau', 'unix', 'javascript', 'shell', 'pl/sql', 'sql']"
Data Analyst III - Now Hiring,"['mysql', 'html', 'python', 'css', 'sql', 'dax']"
"Excel to monitor currency moves, providing analytics in excel that...",['excel']
Data Analyst,"['aws', 'sql']"
Data Engineer,"['pyspark', 'pandas', 'aws', 'azure', 'keras', 'hadoop', 'gcp', 'spark', 'python', 'numpy', 'tensorflow']"
Senior Risk Data Analyst,"['tableau', 'go', 'sql']"
Data Analyst - Full-time / Part-time,"['mysql', 'power_bi', 'aws', 'azure', 'nosql']"
Data Analyst,"['powerpoint', 'excel', 'power_bi', 'tableau', 'r', 'python', 'sas', 'sql', 'dax', 'alteryx']"
"Geospatial Data Analyst — Maritime Experience REQUIRED in Edwardsville, IL","['python', 'sql']"
SAS Data Analyst- Contract,"['sas', 'go', 'sql']"
"Senior Director II, Automation Engineering",['assembly']
Actuary Data Scientist,"['pyspark', 'python', 'snowflake', 'sql']"
Tableau Developer/Data Analyst,"['crystal', 'excel', 'tableau', 'sql']"
Data Analyst for Export/Import,['javascript']
Data Analyst 1,"['power_bi', 'tableau', 'excel', 'javascript', 'snowflake', 'go', 'sql', 'python']"
Data Management Analyst with advanced excel experience,"['excel', 'go']"
Data Analyst and Algorithm Specialist with Security Clearance,"['c++', 'python', 'c/c++', 'linux']"
Senior Data Analyst,"['aws', 'jira', 'excel', 'atlassian', 'gitlab', 'python']"
Data Governance/MDM,['gdpr']
Senior Business Intelligence Developer - IS Clinical Research - Full Time 8 Hour Days (Exempt) (Non-Union),"['tableau', 'excel', 'outlook', 'hadoop', 'power_bi', 'sql', 'word']"
Sr. Actuarial Data Scientist,"['python', 'c', 'sql']"
Statistical Programmer,"['tableau', 'r', 'python', 'vba', 'sas', 'css', 'javascript']"
Data Scientist / Machine Learning Engineer/LLM,"['jupyter', 'docker', 'aws', 'python', 'tensorflow', 'scikit-learn', 'azure', 'linux', 'pytorch']"
Data Analyst I,"['assembly', 'sql']"
"Data Analyst (Kansas City, MO)","['excel', 'tableau', 'power_bi', 'git', 'ssis', 'ssrs', 'sql', 'azure']"
IT Business Analyst V,"['sql', 'word', 'unix', 'shell']"
Sr Data Analyst,"['hadoop', 'tableau', 'r', 'python', 'sas', 'spss', 'nosql']"
Salesforce Data Analyst,"['tableau', 'sql']"
Junior Data Analyst,"['excel', 'power_bi', 'tableau', 'python', 'sql']"
Data Technical Analyst,"['airflow', 'aws', 'microstrategy']"
"Data Analyst, Mid","['power_bi', 'tableau', 'aws', 'azure', 'html', 'gcp', 'sql', 'qlik', 'docker', 'git', 'r', 'python']"
"Data Analyst – CJTF-OIR J39 at Camp Arifjan, Kuwait – TS/SCI CLEARANCE","['powerpoint', 'excel', 'r', 'python']"
Data Analyst,"['excel', 'power_bi', 'tableau', 'r', 'python', 'cognos', 'sap', 'sql']"
Senior Data Analytics Analyst - Full-time / Part-time,"['tableau', 'sas', 'snowflake', 'sql', 'spss', 'r', 'python']"
"Data Architect with CDP Experience - Louisville, KY","['gdpr', 'bigquery', 'snowflake', 'java', 'airflow', 'spark', 'sql', 'nosql', 'redshift', 'python', 'scala']"
"(USA) Senior, Data Analyst - Continuous Improvement","['power_bi', 'tableau', 'powerpoint', 'power_bi', 'gcp', 'scala', 'spark', 'sql', 'r', 'python']"
Financial Data Analyst,['excel']
Data Analyst for Quantitative Investment Strategies - Contract to Hire,"['excel', 'power_bi', 'tableau', 'r', 'python', 'sql']"
"Analyst II, Data Analytics","['power_bi', 'tableau', 'looker', 'sap', 'spark', 'sql', 'r', 'python', 'microstrategy', 'scala']"
Data Analyst IV (Healthcare Analytics),"['power_bi', 'python']"
Data Analyst II - Firm Analytics - Now Hiring,"['bash', 'tableau', 'excel', 'sas', 'hadoop', 'power_bi', 'pl/sql', 'sql', 'spss', 'nosql', 'r', 'python', 'microstrategy', 'vba', 'linux']"
"Zachary Piper Solutions – Sr. Financial Data Analyst (Security Clearance) – Arlington, VA","['spreadsheet', 'spreadsheet']"
Data Analyst II,"['tableau', 'power_bi', 'excel', 'sas', 'power_bi', 'spark', 'sql', 'nosql', 'matplotlib', 'r', 'python', 'scala']"
Reporting Analyst (Workday),"['excel', 'sql']"
Analyst,"['visio', 'tableau', 'r', 'sharepoint']"
Data Analyst - Merchandising (Remote),"['tableau', 'excel', 'sas', 'sql', 'spss', 'r']"
Business Data Analyst,"['power_bi', 'sql']"
Marketing Analyst,"['excel', 'tableau']"
Aws Data Analyst,"['power_bi', 'spreadsheet', 'aws', 'sql', 'azure']"
Category Intelligence Analyst,"['excel', 'power_bi', 'sql', 'azure', 'alteryx']"
Data Analyst - Contract to Hire,['tableau']
Business Analyst (EDW/BI/Analytics),"['sql', 'r', 'python']"
Tableau developer/data analyst - Contract to Hire,['tableau']
Data Analyst with Expertise in Mass Spectrometry,"['r', 'python']"
Data Analyst,"['tableau', 'excel', 'sql', 'r', 'python']"
Data Analyst and Support Consultant,"['t-sql', 'jira', 'power_bi', 'spark', 'sql', 'azure']"
Data Processing Analyst,"['html', 'excel', 'sql']"
Data Scientist with Security Clearance,"['postgres', 'qlik', 'power_bi', 'tableau', 'r', 'python', 'javascript', 'sap', 'sql', 'spss']"
Data Insights & Visualization Specialist,"['power_bi', 'tableau', 'looker', 'hadoop', 'gcp', 'spark', 'sql', 'r', 'python']"
Data & BI Analyst II - Internal Audit,"['tableau', 'hadoop', 'sql', 'nosql', 'r', 'python']"
Senior Data Analyst,"['power_bi', 'tableau', 'looker', 'sql']"
BI Data Analyst,"['sql', 'r', 'python']"
"Data Analyst, Systems Strategy","['looker', 'sql', 'r', 'python']"
Data Analyst,"['mysql', 'looker', 'aws', 'sql']"
